"smCOG name","main annotation","TAILORING","TRANSPORT","CORE","REGULATOR","OTHER"
"SMCOG10395","OTHER","0","19","0","0","105"
"SMCOG10396","OTHER","0","1","0","0","123"
"SMCOG10397","OTHER","1","1","0","0","122"
"SMCOG10398","REGULATOR","0","0","0","114","9"
"SMCOG10399","OTHER","0","0","0","16","107"
"SMCOG10400","OTHER","28","0","0","0","95"
"SMCOG10401","OTHER","0","0","0","0","123"
"SMCOG10402","REGULATOR","0","0","0","95","28"
"SMCOG10403","TAILORING","117","0","0","0","6"
"SMCOG10404","REGULATOR","0","0","3","109","11"
"SMCOG10405","OTHER","0","0","0","0","122"
"SMCOG10406","TRANSPORT","0","77","0","0","45"
"SMCOG10407","CORE","6","0","78","0","38"
"SMCOG10408","OTHER","37","0","0","4","81"
"SMCOG10409","OTHER","47","0","0","0","75"
"SMCOG10410","TAILORING","75","0","0","0","47"
"SMCOG10411","TAILORING","109","0","7","0","6"
"SMCOG10412","TAILORING","81","0","0","1","39"
"SMCOG10413","TRANSPORT","0","92","0","0","29"
"SMCOG10414","OTHER","0","0","0","26","95"
"SMCOG10415","TRANSPORT","0","72","0","0","49"
"SMCOG10416","OTHER","0","0","1","0","119"
"SMCOG10417","OTHER","26","0","0","0","94"
"SMCOG10418","TRANSPORT","0","92","0","0","28"
"SMCOG10419","OTHER","35","0","0","0","84"
"SMCOG10420","REGULATOR","0","0","0","81","37"
"SMCOG10421","OTHER","23","0","0","0","95"
"SMCOG10422","TAILORING","80","0","0","0","38"
"SMCOG10423","TAILORING","100","0","0","0","18"
"SMCOG10424","OTHER","0","11","0","0","107"
"SMCOG10425","OTHER","0","0","0","9","109"
"SMCOG10426","TAILORING","76","0","2","0","39"
"SMCOG10427","TAILORING","90","0","0","0","27"
"SMCOG10428","TAILORING","80","0","0","0","37"
"SMCOG10429","OTHER","6","0","0","0","111"
"SMCOG10430","OTHER","0","0","0","0","116"
"SMCOG10431","TAILORING","113","0","0","0","3"
"SMCOG10432","OTHER","12","0","0","0","104"
"SMCOG10433","OTHER","0","0","0","0","116"
"SMCOG10434","TAILORING","75","0","0","0","40"
"SMCOG10435","TAILORING","48","0","0","0","67"
"SMCOG10436","OTHER","0","0","0","11","103"
"SMCOG10437","TAILORING","94","0","0","0","20"
"SMCOG10438","OTHER","35","0","0","0","79"
"SMCOG10439","TRANSPORT","0","66","0","0","48"
"SMCOG10440","CORE","2","0","65","0","46"
"SMCOG10441","OTHER","0","0","0","0","113"
"SMCOG10442","OTHER","0","0","0","0","113"
"SMCOG10443","TAILORING","98","0","0","0","15"
"SMCOG10444","REGULATOR","0","0","0","73","40"
"SMCOG10445","TAILORING","77","0","0","0","36"
"SMCOG10446","TAILORING","106","0","0","0","6"
"SMCOG10447","TAILORING","82","0","0","0","30"
"SMCOG10448","OTHER","0","0","2","0","110"
"SMCOG10449","OTHER","28","0","0","0","84"
"SMCOG10450","TAILORING","89","0","6","0","17"
"SMCOG10451","TAILORING","57","0","6","0","48"
"SMCOG10452","OTHER","0","1","0","0","110"
"SMCOG10453","OTHER","9","0","0","0","102"
"SMCOG10454","TAILORING","91","0","0","0","20"
"SMCOG10455","TAILORING","107","0","0","0","4"
"SMCOG10456","TRANSPORT","0","88","0","0","22"
"SMCOG10457","OTHER","19","0","0","0","91"
"SMCOG10458","OTHER","0","0","0","0","110"
"SMCOG10459","OTHER","2","0","0","0","108"
"SMCOG10460","OTHER","20","0","0","0","90"
"SMCOG10461","OTHER","0","0","0","31","79"
"SMCOG10462","OTHER","9","0","0","4","97"
"SMCOG10463","TAILORING","54","0","0","4","52"
"SMCOG10464","TAILORING","51","0","0","0","59"
"SMCOG10465","TRANSPORT","0","55","0","0","55"
"SMCOG10466","TAILORING","62","0","0","0","47"
"SMCOG10467","TAILORING","89","0","0","0","20"
"SMCOG10468","OTHER","0","0","0","0","109"
"SMCOG10469","OTHER","0","12","0","0","97"
"SMCOG10470","TAILORING","104","0","0","0","5"
"SMCOG10471","TAILORING","82","0","0","0","27"
"SMCOG10472","TAILORING","103","0","0","0","6"
"SMCOG10473","OTHER","17","0","0","1","91"
"SMCOG10474","CORE","16","0","58","0","35"
"SMCOG10475","OTHER","10","0","0","0","99"
"SMCOG10476","OTHER","0","40","0","0","69"
"SMCOG10477","TRANSPORT","0","49","0","0","60"
"SMCOG10478","OTHER","0","0","0","0","108"
"SMCOG10479","OTHER","27","0","0","0","81"
"SMCOG10480","OTHER","0","0","0","2","105"
"SMCOG10481","REGULATOR","0","0","0","68","39"
"SMCOG10482","OTHER","0","0","0","0","107"
"SMCOG10483","OTHER","0","0","0","0","107"
"SMCOG10484","OTHER","0","0","0","0","107"
"SMCOG10485","OTHER","14","0","23","0","70"
"SMCOG10486","OTHER","0","13","0","10","82"
"SMCOG10487","OTHER","0","6","0","27","74"
"SMCOG10488","OTHER","0","0","0","0","107"
"SMCOG10489","REGULATOR","0","0","0","89","18"
"SMCOG10490","OTHER","1","0","0","0","105"
"SMCOG10491","TAILORING","98","0","0","0","8"
"SMCOG10492","TAILORING","62","0","3","0","41"
"SMCOG10493","OTHER","0","0","13","0","93"
"SMCOG10494","TAILORING","68","0","0","0","38"
"SMCOG10495","TAILORING","66","0","0","0","40"
"SMCOG10496","TRANSPORT","0","79","0","0","27"
"SMCOG10497","OTHER","27","0","0","0","78"
"SMCOG10498","OTHER","9","0","0","0","96"
"SMCOG10499","OTHER","39","0","0","0","66"
"SMCOG10500","OTHER","23","0","0","0","82"
"SMCOG10501","TAILORING","60","0","0","0","45"
"SMCOG10502","OTHER","0","0","0","0","104"
"SMCOG10503","TRANSPORT","0","74","0","0","30"
"SMCOG10504","REGULATOR","4","0","0","69","31"
"SMCOG10505","TAILORING","90","0","0","0","14"
"SMCOG10506","REGULATOR","0","0","0","82","22"
"SMCOG10507","TAILORING","84","0","0","0","20"
"SMCOG10508","OTHER","0","30","0","0","73"
"SMCOG10509","TRANSPORT","0","53","0","0","50"
"SMCOG10510","REGULATOR","0","0","0","60","43"
"SMCOG10511","OTHER","0","0","0","0","103"
"SMCOG10512","TAILORING","48","0","0","0","55"
"SMCOG10513","REGULATOR","0","0","0","86","17"
"SMCOG10514","OTHER","0","0","0","0","103"
"SMCOG10515","TAILORING","75","0","0","0","28"
"SMCOG10516","OTHER","0","0","0","0","103"
"SMCOG10517","OTHER","0","0","0","3","99"
"SMCOG10518","OTHER","0","0","0","0","102"
"SMCOG10519","OTHER","0","0","0","0","102"
"SMCOG10520","CORE","0","0","69","0","33"
"SMCOG10521","REGULATOR","0","0","0","83","19"
"SMCOG10522","TAILORING","90","0","0","0","12"
"SMCOG10523","OTHER","0","0","0","0","101"
"SMCOG10524","OTHER","4","0","0","13","83"
"SMCOG10525","OTHER","0","0","0","0","101"
"SMCOG10526","OTHER","0","0","0","11","90"
"SMCOG10527","OTHER","1","8","0","0","92"
"SMCOG10528","OTHER","0","0","0","0","100"
"SMCOG10529","OTHER","3","1","0","0","96"
"SMCOG10530","TAILORING","96","0","0","0","4"
"SMCOG10531","TAILORING","89","0","0","0","11"
"SMCOG10532","REGULATOR","0","0","0","62","37"
"SMCOG10533","REGULATOR","0","0","0","86","13"
